case_id,type,severity,confidence,description,wallets
RAAZ-26-1020,Rapid layering (high velocity),High,0.84,"Median time between hops is under 30 minutes, consistent with scripted or automated movement.",TpeVPxQJKJBzzYFHm74QB3UwdS9H5Ad5YN;T5kvF6yhG9iu4Uxi4VmDagwH3b5Baz6GL1
RAAZ-26-1020,Consolidation before cash-out,Medium,0.82,Multiple layering branches re-merge into one wallet shortly before reaching an exchange.,TWssiBJJe9RD1QkDSRmp6UH76b7krJJMgY
RAAZ-26-1020,Dusting activity,Low,0.65,Tiny-value transfers received from a single source - possible address probing.,TS7eRRxJXy9xpB7XqmKw7DjQJeHzobGNw2
RAAZ-26-1021,Fan-out distribution,High,0.91,Reported wallet split funds into 3 fresh wallets within minutes of the last victim payment.,0x29b35d781cf01f22c454eb0798b3a555c21145d5;0x275192cc35c79866d578c50c91c49287c1e7f77b;0xd0f5876fde06d49ad7b2bd9a19641955ce95bc2e;0x0072138671b730b6889cbab727282c629705d2f9
RAAZ-26-1021,Rapid layering (high velocity),High,0.84,"Median time between hops is under 30 minutes, consistent with scripted or automated movement.",0x275192cc35c79866d578c50c91c49287c1e7f77b;0xd0f5876fde06d49ad7b2bd9a19641955ce95bc2e;0x0072138671b730b6889cbab727282c629705d2f9
RAAZ-26-1021,Fan-in from unrelated sources,Medium,0.78,4 other wallets paid into the reported wallet in the same window - possible additional victims.,0x9d94f9bf40be247c1b6fc2fb08671763b9bec406;0x32e7c1ce24fe8d78472b45e32932acfb070275a6;0x5e5e2523da7bf4f8fdecf1274534e99010c6eda6;0xa3c59c4dcd2b2a684d89a26a3e698b35c5ec33d8
RAAZ-26-1021,Dusting activity,Low,0.65,Tiny-value transfers received from a single source - possible address probing.,0x6fb4aeb677b312cbbdf2a80cdfee2f1f20201899
RAAZ-26-1022,Fan-out distribution,High,0.91,Reported wallet split funds into 3 fresh wallets within minutes of the last victim payment.,0x92679b5aca4188f873b7e0029226a6b40cb15669;0x8e680b05f1de803d54ca1f736a6cf4774b7b8dce;0x03cad605f1f044a2d01acc9c66d19b8416e64a01;0x14d171163ada542e051d1286039eadaf1140b8fd
RAAZ-26-1022,Peel chain,High,0.88,4-step peel chain: each hop sheds 5-14% to a side wallet and forwards the change.,0x22f3ee999bc16a632b5a888d818c16ee75c249bd;0xd309e0a093a412a0d445e822e051fe42160a818b;0x9a8b1a9122f8ebacbbf449d7531985f84f5e625b;0x02fea6c49ff0e2c214ef4ef990971301e6bda812;0x1b3c6e6d8aaaee489b571586ec8608f65d355767;0xa974e259dfc112e2a57a0f02f3ad914599efded1;0xb91e55d0a084cbc9178739c3139c33af5c12f865;0x7c4304bc1a1eaef303939ac6a6045e4cd2cd2ea2
RAAZ-26-1022,Rapid layering (high velocity),High,0.84,"Median time between hops is under 30 minutes, consistent with scripted or automated movement.",0x8e680b05f1de803d54ca1f736a6cf4774b7b8dce;0x03cad605f1f044a2d01acc9c66d19b8416e64a01;0x14d171163ada542e051d1286039eadaf1140b8fd
RAAZ-26-1022,Fan-in from unrelated sources,Medium,0.78,4 other wallets paid into the reported wallet in the same window - possible additional victims.,0x6a9349885b1c0d0fc379b75d7ca40a18ee958c56;0x1770325dcd5d934847b27e54618a72172691c20c;0xd2f7f5de735ae87d376d6559fa635bb079065eb2;0x61dee09c05f8423d9250960b9e50f6a32bd1dd81
RAAZ-26-1022,Consolidation before cash-out,Medium,0.82,Multiple layering branches re-merge into one wallet shortly before reaching an exchange.,0x7d97e08c1b728e877573edec907db4a7969187e9
RAAZ-26-1022,Cross-case linkage,Critical,0.9,"Consolidation wallet also appears in 5 other RAAZ case(s): RAAZ-26-1017, RAAZ-26-1027, RAAZ-26-1035, RAAZ-26-1040, RAAZ-26-1060. Likely the same operator (Syndicate C).",0x7d97e08c1b728e877573edec907db4a7969187e9
RAAZ-26-1023,Fan-in from unrelated sources,Medium,0.78,2 other wallets paid into the reported wallet in the same window - possible additional victims.,TK2YPD1LEAcyeN1eQ832VyVTqWxpK4NHty;TU3YgWRzz8KhyzovqZ8LX6jHkuKR3YDQLA
RAAZ-26-1023,Consolidation before cash-out,Medium,0.82,Multiple layering branches re-merge into one wallet shortly before reaching an exchange.,TaXJKCK9ovAdBPusifBMZffqGgWqouRt8m
RAAZ-26-1023,Cross-case linkage,Critical,0.9,"Consolidation wallet also appears in 7 other RAAZ case(s): RAAZ-26-1003, RAAZ-26-1005, RAAZ-26-1011, RAAZ-26-1039, RAAZ-26-1050, RAAZ-26-1054, RAAZ-26-1055. Likely the same operator (Syndicate B).",TaXJKCK9ovAdBPusifBMZffqGgWqouRt8m
RAAZ-26-1024,Fan-out distribution,High,0.91,Reported wallet split funds into 3 fresh wallets within minutes of the last victim payment.,TeHsfyBGerRCcTbeujaV9oTVkHYnqW6MwL;T8McYuaLYXmxGpQY5pMssLmaJ8yNY2U1ag;TW3LewQ4JeC5Lo8zb52LfNC85UTwZXRqtT;TgKK9LEUMMovi6sm9dfpnzH2M2fAM3CkCd
RAAZ-26-1024,Rapid layering (high velocity),High,0.84,"Median time between hops is under 30 minutes, consistent with scripted or automated movement.",T8McYuaLYXmxGpQY5pMssLmaJ8yNY2U1ag;TW3LewQ4JeC5Lo8zb52LfNC85UTwZXRqtT;TgKK9LEUMMovi6sm9dfpnzH2M2fAM3CkCd
RAAZ-26-1024,Fan-in from unrelated sources,Medium,0.78,3 other wallets paid into the reported wallet in the same window - possible additional victims.,TUYq8SkcaCmfk3xyKU3cMi7gGfCHqFpsoz;TTts5WpV3i3QvoeEud7SzVxbDRkzz3CW8V;TXqDYBECEsKDG9BPLmLesrS3MviDn161uV
RAAZ-26-1025,Fan-out distribution,High,0.91,Reported wallet split funds into 5 fresh wallets within minutes of the last victim payment.,0x452e1c4112fdf16e84809930e71b128338a1f061;0xa1affe1e252bfe801b06a23efae099e8bc53539e;0x69685492189cee04363a9165f5ae5ec44535d48a;0x16997b6497b50d0b5db0db6dba07e471a7a22873;0xca839ea8d8d9a5c28971a3f58aa612285c6841d0;0x398eeb57dd315cc401aed6d045272caf323ca249
RAAZ-26-1025,Rapid layering (high velocity),High,0.84,"Median time between hops is under 30 minutes, consistent with scripted or automated movement.",0xa1affe1e252bfe801b06a23efae099e8bc53539e;0x69685492189cee04363a9165f5ae5ec44535d48a;0x16997b6497b50d0b5db0db6dba07e471a7a22873;0xca839ea8d8d9a5c28971a3f58aa612285c6841d0;0x398eeb57dd315cc401aed6d045272caf323ca249
RAAZ-26-1025,Fan-in from unrelated sources,Medium,0.78,2 other wallets paid into the reported wallet in the same window - possible additional victims.,0x752e2360f01170aa53e51110288df84f1ff318d3;0x99a728e516019a995dd60dbdb7b2cdd92198873f
RAAZ-26-1025,Consolidation before cash-out,Medium,0.82,Multiple layering branches re-merge into one wallet shortly before reaching an exchange.,0xfbc1f9ee2e85b6a2a8f3cd4f62d474a9a2df2126
RAAZ-26-1026,Fan-out distribution,High,0.91,Reported wallet split funds into 3 fresh wallets within minutes of the last victim payment.,0x3c2347ab862823bb3c509ac82ee7f6756986feea;0xe7ae4648e351a410a7b8f133a0706910307886de;0xcdcf2e682a72aba21764b6fc0c6d82645b7cd198;0xfeec4f364284eaade32a45cbeb4602b8ef297e78
RAAZ-26-1026,Consolidation before cash-out,Medium,0.82,Multiple layering branches re-merge into one wallet shortly before reaching an exchange.,0x732595ae2118b6fca26a2894c8d6eeca3ffebfdb
RAAZ-26-1027,Fan-out distribution,High,0.91,Reported wallet split funds into 6 fresh wallets within minutes of the last victim payment.,0xf4a556fe8ad5b7c378b8b8b8dc7a0ddcd0cf07a3;0x07bbc1616e4885614ed9055abf178358f1e87291;0xc235d5776154ba53955e00c72e9311f447bc4708;0x88bab6c3bab2faff225f4bb1a67c4644728af4e3;0xa5c9187061614209f13a382521c7945dd46dbaaf;0x5d97348e70c5b21d7cdb5e212a832e956f822c37;0x266abd45bccd521f41ea8f06a3900c7efe3d140a
RAAZ-26-1027,Peel chain,High,0.88,6-step peel chain: each hop sheds 5-14% to a side wallet and forwards the change.,0x47014f416668bfebe647a9f7286f1bcef392d127;0x7d32a168ff2cb0c78eff183741913da40e53ce28;0x71726233f5716faf7004d9d35cea9522cdab354f;0x7b4ebfb66d5f0ed4da621875380f95ba5244529b;0xfa6c73e2275185a0cea1d5761c58c5c7eacbaac3;0xdc52ae51f7268995bb981f1b7b3dacabedca8f1d;0x020f52eb5ff706ab53c7cb8b40427b3c315557a2;0x1f7dbf69f2ad6706cd1865a3e7f9fe22b9ef474c;0xb9ab4995d27738cee34c77a35474f45ac80a4244;0x308a68f81ab480c476875947afcf6001786b809f;0x8da0d56cbdaee276ba4082c214295eec4d1b0ff4;0xf4021021a37309f770c7732ae0b66fcbe3a28ace
RAAZ-26-1027,Mixer / tumbler usage,Critical,0.95,"1,034.52 USDT sent into Obscura Mixer; outputs linked probabilistically by amount and timing.",0xfc15c19543e95a33d8db7989cb39a07f066fb153
RAAZ-26-1027,Fan-in from unrelated sources,Medium,0.78,5 other wallets paid into the reported wallet in the same window - possible additional victims.,0xa57df6b6a0c7b7e54c2f58aa865f291f9959b967;0x86e891dc307f7e24afdc0cd59e8082c1625d4c71;0xc8738f8f012fca7d6792bc9434d96cd28a18f1fb;0x7c35e8af6503855565602e77934ac42a9f232868;0x314abd501c28435e9149be6f633c8ccde3dd1e16
RAAZ-26-1027,Consolidation before cash-out,Medium,0.82,Multiple layering branches re-merge into one wallet shortly before reaching an exchange.,0x7d97e08c1b728e877573edec907db4a7969187e9
RAAZ-26-1027,Cross-case linkage,Critical,0.9,"Consolidation wallet also appears in 5 other RAAZ case(s): RAAZ-26-1017, RAAZ-26-1022, RAAZ-26-1035, RAAZ-26-1040, RAAZ-26-1060. Likely the same operator (Syndicate C).",0x7d97e08c1b728e877573edec907db4a7969187e9
RAAZ-26-1028,Fan-out distribution,High,0.91,Reported wallet split funds into 4 fresh wallets within minutes of the last victim payment.,TeXY9z3tm5qWJMx7vfLp16dPZZK1eXX6vz;T8ar7FkWTfuGnmRSAEzREXRzxxqY7cWZXX;T56tn34JGZEhxVawF7U9aau4yinRBo5hXa;TFBmDQBkpwEZPjCaevvRkfxPdgF7RomCbo;Td5HhcAFcmJJDoxZpcmd2RiKeZAwpw6fvT
RAAZ-26-1028,Fan-in from unrelated sources,Medium,0.78,2 other wallets paid into the reported wallet in the same window - possible additional victims.,TmyLy6gLg5yLuh4LaXv8KmVZXQxUVZWakj;Tm4RxjSY9XnvkBPtXcdwGDQDsNtLriwmw8
RAAZ-26-1028,Dusting activity,Low,0.65,Tiny-value transfers received from a single source - possible address probing.,TYZmSid5sYnyzjb7a4mPAA79hxfR1WXhNV
RAAZ-26-1029,Fan-out distribution,High,0.91,Reported wallet split funds into 6 fresh wallets within minutes of the last victim payment.,T7gMqk5qdM6FMUF86paWPeVBRur7v6E3HJ;TweNUk7FiJT114aGNN7tEYiTk2qCgAH7YN;TwRMYF1TNaMAeogNX1ZnDjeosNJy2NqLXX;TFiCsXWEpFv8b3ytFaRJ3C8PXkBnhxGTKm;Td7ULB2rEHVTXEjQkwuJx14JYQVD7W4MMN;TrbNnL1PVufaGzdA5osvC2dbSN8DnjPBTZ;TqeMXdVxb1NCtk4KSfMbdVn4DZkcvFh4z5
RAAZ-26-1029,Cross-chain bridge hop,High,0.86,Funds moved from TRON to Polygon through ArcBridge.,TgTLW8r12LDjJJDnvLznRmxT95Wvb25XTi
RAAZ-26-1029,Fan-in from unrelated sources,Medium,0.78,3 other wallets paid into the reported wallet in the same window - possible additional victims.,T2WW1EP9pwqPcRW7NWTC7rcZJdHavwt1Ve;TMBn9ov5BUcUAtRB31dV9jUghRNYkGSbUb;TECa4bfPSmEz7xDCHu82kz3P1zY6P3xAkP
RAAZ-26-1029,Funds dormant in layering wallets,Medium,0.8,No exchange deposit observed yet; funds are sitting in layering wallets. Recommend adding to watchlist.,TweNUk7FiJT114aGNN7tEYiTk2qCgAH7YN;TwRMYF1TNaMAeogNX1ZnDjeosNJy2NqLXX;TFiCsXWEpFv8b3ytFaRJ3C8PXkBnhxGTKm;Td7ULB2rEHVTXEjQkwuJx14JYQVD7W4MMN;TrbNnL1PVufaGzdA5osvC2dbSN8DnjPBTZ;TqeMXdVxb1NCtk4KSfMbdVn4DZkcvFh4z5
RAAZ-26-1030,Rapid layering (high velocity),High,0.84,"Median time between hops is under 30 minutes, consistent with scripted or automated movement.",0xa48292c848ea8b6c0f8dfc5465f711cf3500550e
RAAZ-26-1030,Fan-in from unrelated sources,Medium,0.78,4 other wallets paid into the reported wallet in the same window - possible additional victims.,0xfff9b803f821f2d72182db2b4febaa48edbeddd6;0x26e527a7f819738d2464bf8ca393da207927f355;0x2bb96ba403f9ee817fee57bf57318c282f092050;0xc0a156877d78fa703abc2a2ddfb8c86a923bb35d
RAAZ-26-1030,Consolidation before cash-out,Medium,0.82,Multiple layering branches re-merge into one wallet shortly before reaching an exchange.,0x4623dafd7318f19478169f2e45934856b17fe24e
RAAZ-26-1031,Fan-out distribution,High,0.91,Reported wallet split funds into 4 fresh wallets within minutes of the last victim payment.,bc1ql5lt226na59sja572hkactydhhujs89hlhpuar;bc1q8pd8gtxut8dvs0nvdeyp5svhh090y8ge505w03;bc1qm7pp58t8xqsq2v7ehqt82phzy0s8vgze6s87mx;bc1q0j7h22h5mq2kn9nw7t7e9fmakauycmggqdu0w4;bc1qlupcqs36pu2a6cmva9pjr07g6xysefpppyvp55
RAAZ-26-1031,Peel chain,High,0.88,5-step peel chain: each hop sheds 5-14% to a side wallet and forwards the change.,bc1qfl2mhhm42t25kgp5e9fdm4ljy6kzgh45w5gnut;bc1qumzq04eees7vwgp0j3xve9q03cxpdkr0s683nm;bc1qvtgefsm3ayu8hzkzc2y945knec7jsxtvhsc73d;bc1q859wu04ay08wthpdjxlgy4smry64mlc49dsx6l;bc1qzvpfmtp6pyn6wknl00ahckcf0as86klntt0mr2;bc1qwm303lcrj9lapahr0pv554au2mntgqs2tan836;bc1qtzn7sa9t3ackddla5uejdelfgeah36k26e5tsu;bc1qk9z7wh7jpqancapv8l6etvu4uxu47e7capzqg2;bc1qul694p9jl08gxafmjwe5hmh7uv72h09vm99ytd;bc1qa5fewm2r9p46jqcpukglp6je3ugtep7hlktnsl
RAAZ-26-1031,Mixer / tumbler usage,Critical,0.95,0.000854 BTC sent into Umbra Tumbler; outputs linked probabilistically by amount and timing.,bc1qqk0t7p3r6q49r7heu43dyzqwr0v8cax6gjqt3f
RAAZ-26-1031,Rapid layering (high velocity),High,0.84,"Median time between hops is under 30 minutes, consistent with scripted or automated movement.",bc1q8pd8gtxut8dvs0nvdeyp5svhh090y8ge505w03;bc1qm7pp58t8xqsq2v7ehqt82phzy0s8vgze6s87mx;bc1q0j7h22h5mq2kn9nw7t7e9fmakauycmggqdu0w4;bc1qlupcqs36pu2a6cmva9pjr07g6xysefpppyvp55
RAAZ-26-1031,Funds dormant in layering wallets,Medium,0.8,No exchange deposit observed yet; funds are sitting in layering wallets. Recommend adding to watchlist.,bc1q8pd8gtxut8dvs0nvdeyp5svhh090y8ge505w03;bc1qm7pp58t8xqsq2v7ehqt82phzy0s8vgze6s87mx;bc1q0j7h22h5mq2kn9nw7t7e9fmakauycmggqdu0w4;bc1qlupcqs36pu2a6cmva9pjr07g6xysefpppyvp55
RAAZ-26-1032,Fan-out distribution,High,0.91,Reported wallet split funds into 3 fresh wallets within minutes of the last victim payment.,TgF1jhLdc4QXKPHJReckh94wm8ocQ5wN3L;T1dS5SNFMoqP2bR5TFmcGKspzNpWUohM67;T9ZYuv9zciCYQddm9FoZknZWJhATfiug69;TGZaJg42eizZPMX2of987KrkeQ6YhMD8ty
RAAZ-26-1033,Fan-in from unrelated sources,Medium,0.78,5 other wallets paid into the reported wallet in the same window - possible additional victims.,0x6d033adcfdd25ac853cd4e8c1460aedec7bb45fc;0x6ba83437dbbd00156307ae4af027e58e070ac11f;0xc55d8c109444e9418ec498b2e4d7d4af3f75c1a9;0x6b2a1437de6ab410ef42eca78266886537a2ef9f;0x0f7a777686860fe8f005d6fe7a7d66304e4ae627
RAAZ-26-1033,Consolidation before cash-out,Medium,0.82,Multiple layering branches re-merge into one wallet shortly before reaching an exchange.,0x29db0b1faa2f8f09b7e316da78eacea7dde66d57
RAAZ-26-1034,Fan-out distribution,High,0.91,Reported wallet split funds into 4 fresh wallets within minutes of the last victim payment.,TzRMJBjTkpb4ueMbJq7rb4b5uLpdFL3doU;TpE1zXB8fG3LDYQGd1VREbCtSJS85dTGyM;TxwgtGEqSve4ELTUqvpDw4uxyi8HieRbFs;TqgdbTSKCxzq73D9tnmWaxUyHTSnVgKuW7;TmBan2CMgmjQssypRtRFzMWYCqyMPLiMMD
RAAZ-26-1034,Fan-in from unrelated sources,Medium,0.78,5 other wallets paid into the reported wallet in the same window - possible additional victims.,T5TGKKeKPQPWrYigvt6e791YHX199wXvnn;T2pD3PQc2EDHmszbzZw8KPEWbihjsL6hpU;TSJgiJFLPKg1EnMUCSee4HwSPieDbTAzAD;TNErtfQPg5mMuaTttzWmajccRunWrTXvHA;TyMZH9hWxQvWo8X6YfPxXqbBfqvwj8PxX3
RAAZ-26-1035,Mixer / tumbler usage,Critical,0.95,165.5694 BNB sent into Obscura Mixer; outputs linked probabilistically by amount and timing.,0xfc15c19543e95a33d8db7989cb39a07f066fb153
RAAZ-26-1035,Rapid layering (high velocity),High,0.84,"Median time between hops is under 30 minutes, consistent with scripted or automated movement.",0x35e2fb71f06c0e69e24bdff492e95d7e26faaf9f;0x44163956173252881594af66a0d956172f6f67e9
RAAZ-26-1035,Fan-in from unrelated sources,Medium,0.78,2 other wallets paid into the reported wallet in the same window - possible additional victims.,0xbcc3988d260030e18c9ce3d73da763032a6cb4f2;0x5150bd286dabaea945098cf5420cd270a20d5c7b
RAAZ-26-1035,Consolidation before cash-out,Medium,0.82,Multiple layering branches re-merge into one wallet shortly before reaching an exchange.,0x7d97e08c1b728e877573edec907db4a7969187e9
RAAZ-26-1035,Cross-case linkage,Critical,0.9,"Consolidation wallet also appears in 5 other RAAZ case(s): RAAZ-26-1017, RAAZ-26-1022, RAAZ-26-1027, RAAZ-26-1040, RAAZ-26-1060. Likely the same operator (Syndicate C).",0x7d97e08c1b728e877573edec907db4a7969187e9
RAAZ-26-1036,Rapid layering (high velocity),High,0.84,"Median time between hops is under 30 minutes, consistent with scripted or automated movement.",TWAvVSwKodGYvUjaFeevi1NoccPbToRcc6
RAAZ-26-1036,Consolidation before cash-out,Medium,0.82,Multiple layering branches re-merge into one wallet shortly before reaching an exchange.,T2FFPVjR9khsjZ2aCitT2zmzKZSivjgguh
RAAZ-26-1036,Dusting activity,Low,0.65,Tiny-value transfers received from a single source - possible address probing.,TJ5L2kRd2TPqb1CZ3mraMtSMWtCbQtfAyb
RAAZ-26-1037,Fan-out distribution,High,0.91,Reported wallet split funds into 3 fresh wallets within minutes of the last victim payment.,T6YLtrRo5sPRxin8sUbzgfVrqjGvXgAfur;Txmm1yaj3NntHVawemtZAak19Fa2CNNuW4;TXyNnXz8YSaf8kTgLtu8u7uCzHrzsvMMnj;TyvAyNMQVLXSfMtFdaBiNcfd3mbGEXZWQ5
RAAZ-26-1037,Rapid layering (high velocity),High,0.84,"Median time between hops is under 30 minutes, consistent with scripted or automated movement.",Txmm1yaj3NntHVawemtZAak19Fa2CNNuW4;TXyNnXz8YSaf8kTgLtu8u7uCzHrzsvMMnj;TyvAyNMQVLXSfMtFdaBiNcfd3mbGEXZWQ5
RAAZ-26-1037,Consolidation before cash-out,Medium,0.82,Multiple layering branches re-merge into one wallet shortly before reaching an exchange.,TaJXqcRHSmfSNjNFNsY7WfGZgnjoyP3vkT
RAAZ-26-1037,Cross-case linkage,Critical,0.9,"Consolidation wallet also appears in 4 other RAAZ case(s): RAAZ-26-1007, RAAZ-26-1009, RAAZ-26-1048, RAAZ-26-1059. Likely the same operator (Syndicate A).",TaJXqcRHSmfSNjNFNsY7WfGZgnjoyP3vkT
RAAZ-26-1038,Rapid layering (high velocity),High,0.84,"Median time between hops is under 30 minutes, consistent with scripted or automated movement.",TzkLJu974Xzo5TVWwgLvpakZQguhBHjPz8;TKNBKvXjT569cMipTobpYJUVLXJCJYoVdA
RAAZ-26-1038,Fan-in from unrelated sources,Medium,0.78,2 other wallets paid into the reported wallet in the same window - possible additional victims.,Taop41XLa3fKPiANmcpaAf4irJqyTeeN14;TFrYq4XHDMds9gvQc2sz3ofDfAq4fVMnn2
RAAZ-26-1038,Consolidation before cash-out,Medium,0.82,Multiple layering branches re-merge into one wallet shortly before reaching an exchange.,T9GvAbdgyL1LZJkfeUeU22NNCyJUaFMwGY
RAAZ-26-1039,Fan-out distribution,High,0.91,Reported wallet split funds into 6 fresh wallets within minutes of the last victim payment.,TAiiRhFnQ1MXkU3zyEGteyDMxfCWK4uEZu;TXwgXDdyv5JLjEDpv7nfEYnzwHqXPMSwGJ;Tc7a31TzsgFW6qBB3YBS3rN7rrxA7z3h5z;TA12sHKd7oiL9veJcnxUYgwUdHN85nkKBg;To5snh15KDiEd1KK9QAxYC6iETrM43bA7i;TgeLTAyycL3BiHFUDmhMrjfznxcGsaSB8e;TYWFbeFG9uFBtYfMVcvATnVhECtycTusVY
RAAZ-26-1039,Fan-in from unrelated sources,Medium,0.78,2 other wallets paid into the reported wallet in the same window - possible additional victims.,T6FkZk1aAxpqUaeprcww8FUitySbwKXqsY;TErX6HawLhXV5fw8bhyWxgnqYnLLwuBaTK
RAAZ-26-1039,Consolidation before cash-out,Medium,0.82,Multiple layering branches re-merge into one wallet shortly before reaching an exchange.,TaXJKCK9ovAdBPusifBMZffqGgWqouRt8m
RAAZ-26-1039,Cross-case linkage,Critical,0.9,"Consolidation wallet also appears in 7 other RAAZ case(s): RAAZ-26-1003, RAAZ-26-1005, RAAZ-26-1011, RAAZ-26-1023, RAAZ-26-1050, RAAZ-26-1054, RAAZ-26-1055. Likely the same operator (Syndicate B).",TaXJKCK9ovAdBPusifBMZffqGgWqouRt8m
RAAZ-26-1040,Rapid layering (high velocity),High,0.84,"Median time between hops is under 30 minutes, consistent with scripted or automated movement.",0xa37fa35b6c008208d11f3ea6f30612fb6aa365de;0x1938b33da765466e0cc9073deff328b2f75b4cd3
RAAZ-26-1040,Consolidation before cash-out,Medium,0.82,Multiple layering branches re-merge into one wallet shortly before reaching an exchange.,0x7d97e08c1b728e877573edec907db4a7969187e9
RAAZ-26-1040,Cross-case linkage,Critical,0.9,"Consolidation wallet also appears in 5 other RAAZ case(s): RAAZ-26-1017, RAAZ-26-1022, RAAZ-26-1027, RAAZ-26-1035, RAAZ-26-1060. Likely the same operator (Syndicate C).",0x7d97e08c1b728e877573edec907db4a7969187e9
RAAZ-26-1041,Fan-out distribution,High,0.91,Reported wallet split funds into 4 fresh wallets within minutes of the last victim payment.,TMkFtfgVQACciACyKgrub93s4o6G1JzxTV;TWfoXsvCaZUSf9Fwda6ajaJYbEPVGDdtXf;T64AmcNBYjNPpnChAiRdj2uQ42V8waB4Ah;TvyK2guTNR9rbX2Jxs81WixQQDWedPDkyc;Thv3F84NugpzVa4NkLo5Phr8x4GdgTcpss
RAAZ-26-1041,Fan-in from unrelated sources,Medium,0.78,4 other wallets paid into the reported wallet in the same window - possible additional victims.,TBr62MWdPMEzTDHoNjXPzy1gebNrpVrtsc;Tii6KwwbShvgMrW1poo9H6423ahaVLuaWD;Tmhim7cK8w1YRSxWZzqsjS3hgS6vTYZm1Y;Tw1ovtQXP7gyeUpoLeMnyxTHyLBXVxUmBb
RAAZ-26-1041,Funds dormant in layering wallets,Medium,0.8,No exchange deposit observed yet; funds are sitting in layering wallets. Recommend adding to watchlist.,TWfoXsvCaZUSf9Fwda6ajaJYbEPVGDdtXf;T64AmcNBYjNPpnChAiRdj2uQ42V8waB4Ah;TvyK2guTNR9rbX2Jxs81WixQQDWedPDkyc;Thv3F84NugpzVa4NkLo5Phr8x4GdgTcpss
RAAZ-26-1042,Fan-out distribution,High,0.91,Reported wallet split funds into 4 fresh wallets within minutes of the last victim payment.,0x373473f89fbb423fa5cc3c1d9d5c39ca5cb1f863;0x5af804bd894094b22b1002fd4ac8e8beb935c4c2;0x9edc2e3488ad9b837be9eec7b5ab8a91d9c89268;0xb5afae93c2998cdb99890a0b9f99d0cae59f28b5;0x07d310bde9cb562c239a0b8ab57b4ae563ff4af6
RAAZ-26-1042,Cross-chain bridge hop,High,0.86,Funds moved from Ethereum to BNB Smart Chain through HopLink Bridge.,0xec798bb8e37916ccd2813f8abc36f83907fb9216
RAAZ-26-1043,Fan-out distribution,High,0.91,Reported wallet split funds into 3 fresh wallets within minutes of the last victim payment.,TtoA5FepmKVEik5d4HdhuJCZUKkrkVBBwV;Tu84xubvV8amJ2xc6XLYSRtQ4MqLUbdDV9;TNUZeDvN3ATqfbcXyj9XJDpJdD5Z5WknDR;TRUHD9shAHgpjpCkja1Fxsj9evCJgXAQYv
RAAZ-26-1043,Peel chain,High,0.88,6-step peel chain: each hop sheds 5-14% to a side wallet and forwards the change.,TL1cp4YgRjHutdmtvAz7z9rN5HKTdDrvg2;Tgy2vTyf9jhBdN383r3UEs9mG8x6AJG8hm;TBVjH6aJtb5i4xrx7AuB7mT2aLkUTYqrMg;Tnqz3PvvjUBSwwT2qT3J2RinqRvemxwUZ2;T5TvmgyZSQeepAArAGtohqZPSWgAy74qrg;TY9U7jzJsgWMUMRBqR5RXjxez4VEvjfSXi;T3o4qNGa6WJenZWDufaNA3FUBrc9a9JjUT;TSR6XazbJj2864SDtEeji668gjn6qS985v;TwoVJCYoMVNkB5zfi7BHC6UAY8eReQK8Q7;TeQNR2PbJJzVTYAZwEjPSMhNZGMmNGjsVh;T6U3geEdiB9hwSAB3Kz2oFqvVtCd5vxFKK;TEohpetLJRH2nw2brUtKbD5J5Md9fv1DBK
RAAZ-26-1043,Fan-in from unrelated sources,Medium,0.78,2 other wallets paid into the reported wallet in the same window - possible additional victims.,TPy211XADoYfRTRoEbtAvHMahSNarURgbg;Tm52xwY2LD2CeRGdvFg9uC4pD1NXXNzH6k
RAAZ-26-1043,Dusting activity,Low,0.65,Tiny-value transfers received from a single source - possible address probing.,TaTKtjUho6s68vp7zcwkPCLdoQ7TMx3g5S
RAAZ-26-1044,Fan-out distribution,High,0.91,Reported wallet split funds into 4 fresh wallets within minutes of the last victim payment.,TAgvgqYQze9swebfT3F23BF39cLM63kTmS;Twjw2pcFiLwgysemzMkg6Ka2YoomgUG7ju;TMfWv2ZwxiKG4LkXv2Vfbes1Rg8TJMX1sC;Td24T3dqqXEEajq2Jy82do3HVfaxQBoAkA;TfR9tvkkiknQyzhNtk1xu9skt5rAtpzqqS
RAAZ-26-1044,Peel chain,High,0.88,6-step peel chain: each hop sheds 5-14% to a side wallet and forwards the change.,TM69Wwb7jCfQFPmjF4Jzu4wqQW6a8ni3YP;Tm2ikPTcGkdGD3tRVBzYXsnrexNxNrWBq5;TNsmW96ENLGpAVAeK7T9CfdwrmGYCx1D4y;TaKQBdmDtcTEyVy1p4EZeiSxptEY7foRXy;TMMTRM2KxR1bfQ6Z7fWjsncXjjS4zNH7vH;TDY6SWPWmSgAb7cwMzPXtw6twCSuPVF65z;TQVS7hK2iNr3DyC3MckH9irYmU2bm6BrtX;TjtpTtCoqGQ1t6syKdicwUUgTAbJcwkGjx;TDjYJg4A3rjobFEaC5GP2bk6JkMjFfww9q;T8Hwqjenq8U93deXVfwg6BCa8upr2cUqLv;Twj4gDFm8smpBQqJDU5wJumJPUDYGvp5Jm;TDCTT55tr8CetFgXcWsQhtGSg6THqfQ6XJ
